SOCKEYE HYPURAL LENGTH STATISTICS OF HOBITON LAKE 1984
11:59 TUESDAY, OCTOBER 9, 1984 2

HYPURAL LENGTH (MM)

HYPLNGTH  FREQUENCY  PERCENT  CUMULATIVE  CUMULATIVE
          FREQUENCY  PERCENT

282       1          0.2       1          0.2
297       1          0.2       2          0.4
335       1          0.2       3          0.5
336       2          0.4       5          0.9
339       3          0.5       8          1.5
340       4          0.7       12         2.2
344       3          0.5       15         2.7
347       1          0.2       16         2.9
350       1          0.2       17         3.1
351       2          0.4       19         3.5
353       1          0.2       20         3.7
355       2          0.4       22         4.0
357       4          0.7       26         4.8
358       4          0.7       30         5.5
360       2          0.4       32         5.9
361       5          0.9       37         6.8
362       2          0.4       39         7.1
365       16         2.9       55         10.1
366       7          1.3       62         11.4
369       10         1.8       72         13.2
370       10         1.8       82         15.0
374       16         2.9       98         17.9
375       2          0.4       100        18.3
378       24         4.4       124        22.7
380       5          0.9       129        23.6
381       11         2.0       140        25.6
382       9          1.6       149        27.3
385       13         2.4       162        29.7
386       12         2.2       174        31.9
389       15         2.7       189        34.6
390       11         2.0       200        36.6
391       11         2.0       211        38.6
393       8          1.5       219        40.1
395       24         4.4       243        44.5
397       18         3.3       261        47.8
399       8          1.5       269        49.3
400       8          1.5       277        50.7
401       8          1.5       285        52.2
403       5          0.9       290        53.1
404       11         2.0       301        55.1
405       12         2.2       313        57.3
407       7          1.3       320        58.6
408       6          1.1       326        59.7
410       10         1.8       336        61.5
412       10         1.8       346        63.4
415       25         4.6       371        67.9
416       13         2.4       384        70.3
420       12         2.2       396        72.5
424       15         2.7       411        75.3
425       14         2.6       425        77.8
428       6          1.1       431        78.9
430       8          1.5       439        80.4
431       1          0.2       440        80.6
